University,Program,Study Level,Country,Official Website
St Matthew's University,Doctor of Veterinary Medicine,Masters,Cayman Islands,https://qs.topuniversities.com/smu?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,ARQ Architect,Bachelors,Mexico,https://tec.mx/en
Monash University,Master of Applied Linguistics (2 years),Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),B. Tech. (Hons.) Energy Technology with LL.B in IPR Law (Intake till 2016),Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Sophia University ,"Department Of Global Studies (Sophia Program for Sustainable Futures – SPSF, taught in English)",Bachelors,Japan,http://www.sophia.ac.jp/
Aarhus University,Economics and Business Administration - Information Management,Masters,Denmark,http://international.au.dk/
IULM University,"Marketing, Consumption and Communication",Masters,Italy,http://www.iulm.com?utm_source=qstopuniversity&utm_medium=profile&utm_campaign=internazionale
Tecnológico de Monterrey,Residency in Critical Care Medicine (REE),Masters,Mexico,https://tec.mx/en
University of Petroleum and Energy Studies (UPES),BA (Hons.) Economics - Energy Economics,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),BBA (Aviation Management) - Airport Capacity Management,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of the Arts London,MSc Cosmetic Science,Bachelors,,http://www.arts.ac.uk?utm_source=qs&utm_medium=profile&utm_campaign=referralsites
Monash University,Master of Financial Mathematics (1 year),Masters,Australia,http://www.monash.edu.au
"Monash Business School, Monash University ","Bachelor of Commerce, Bachelor of Information Technology",Bachelors,Australia,
Monash University,Professional Entry Master of Teaching,Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),B. Tech (Food Technology) - Food Biotechnology,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Advanced Nursing (1.5 years),Masters,Australia,http://www.monash.edu.au
Tecnológico de Monterrey,Residency in Obstetrics and Gynecology (REG),Masters,Mexico,https://tec.mx/en
Tecnológico de Monterrey,Master of Science in Manufacturing Systems (MSM),Masters,Mexico,https://tec.mx/en
The University of Law ,LLB (Hons) Law Accelerated,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Public Health (1 year),Masters,Australia,http://www.monash.edu.au
The University of Law ,BSc (Hons) Professional Policing with Foundation Year,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Clinical Pharmacy (3 years),Masters,Australia,http://www.monash.edu.au
Monash University,"Bachelor of Medical Science, Doctor of Medicine (5 years)",Bachelors,Australia,http://www.monash.edu.au
Monash University,Bachelor of Health Sciences (Honours),Bachelors,Australia,http://www.monash.edu.au
"Monash Business School, Monash University ","Bachelor of Business, Bachelor of Marketing",Bachelors,Australia,
Monash University,"Bachelor of Education (Honours), Bachelor of Music",Bachelors,Australia,http://www.monash.edu.au
Monash University,Bachelor of Biomedical Science (Honours),Bachelors,Australia,http://www.monash.edu.au
Chalmers University of Technology,"Materials Chemistry, MSc",Masters,Sweden,http://www.chalmers.se/en
University of Petroleum and Energy Studies (UPES),M. Tech By Research,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
"Monash Business School, Monash University ",Bachelor of Economics,Bachelors,Australia,
Monash University,Master of Applied Linguistics (1.5 years),Masters,Australia,http://www.monash.edu.au
Tecnológico de Monterrey,Master in Humanistics Studies (MEH),Masters,Mexico,https://tec.mx/en
Aarhus University,Linguistics,Masters,Denmark,http://international.au.dk/
University of Petroleum and Energy Studies (UPES),BA (Public Policy) - Public Administration,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
GISMA Business School,MSc Cyber Security and Data Governance,Masters,Germany,https://qs.topuniversities.com/gisma?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Bioethics (1.5 years),Masters,Australia,http://www.monash.edu.au
Monash University,Master of Communications and Media Studies (1 year),Masters,Australia,http://www.monash.edu.au
Monash University,Doctor of Law,PHD,Australia,http://www.monash.edu.au
Tecnológico de Monterrey,IE Electronics Engineer,Bachelors,Mexico,https://tec.mx/en
Tecnológico de Monterrey,Master in Education Online (MEE-V),Masters,Mexico,https://tec.mx/en
Monash University,Master of International Sustainable Tourism Management (1 year),Masters,Australia,http://www.monash.edu.au
Monash University,Master of Financial Mathematics (2 years),Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),Integrated (B. Sc.) - (M. Sc.) Microbiology - Food and Environmental Microbiology,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Bachelor of Design,Bachelors,Australia,http://www.monash.edu.au
Monash University,Bachelor of Science Advanced - Research (Honours),Bachelors,Australia,http://www.monash.edu.au
"Monash Business School, Monash University ",Master of Business (1 year),Masters,Australia,
Monash University,"Bachelor of Laws (Honours), Bachelor of Information Technology",Bachelors,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),M. Tech (Computer Science and Engineering) - Cyber Security and Forensics,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,LTM Bachelor of Music Technology and Production,Bachelors,Mexico,https://tec.mx/en
University of Petroleum and Energy Studies (UPES),BBA (Aviation Management) - Travel and Tour Operations,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,LDE Bachelor of Entrepreneurship,Bachelors,Mexico,https://tec.mx/en
Monash University,Master of Public Policy (1.5 years),Masters,Australia,http://www.monash.edu.au
Monash University,Bachelor of Computer Science Advanced (Honours),Bachelors,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),Master of Computer Application (MCA) - Cyber Security and Forensics,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,"Bachelor of Engineering (Honours), Master of Engineering",Bachelors,Australia,http://www.monash.edu.au
Monash University,Master of Laws,Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),Integrated (B.Des) - (M.Des) - (Graphics Design),Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
The Education University of Hong Kong,Bachelor of Arts (Honours) in English Studies and Digital Communication (Four-year Full-time) (Senior Year Entry only),Bachelors,Hong Kong SAR,https://www.eduhk.hk/en/
The University of Law ,LLB (Hons) Law with Foundation Year,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,Bachelor of Health Sciences (Honours),Bachelors,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),LL.B.,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),BBA - Human Resource,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),MBA - Marketing Management,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Universidad de Lima,Master of Taxation and Fiscal Policy,Masters,Peru,http://www.ulima.edu.pe/en
Chalmers University of Technology,"Materials Chemistry, MSc",Masters,Sweden,http://www.chalmers.se/en
University of Petroleum and Energy Studies (UPES),BBA (Logistics Management) - Service Operations & Procurement,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Southern Mindanao,Bachelor of Science in Biology,Bachelors,Philippines,
The University of Law ,LLM Company Law - Part-time (Online),Masters,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),M.Tech (Chemical Engineering) - Process Automation,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),M.Tech (Rotating Equipment),Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
The University of Queensland,Bachelor of Biotechnology,Bachelors,Australia,https://study.uq.edu.au/?utm_source=topuniversities.com&utm_medium=referral&utm_campaign=int-qstu
Monash University,Doctor of Clinical Neuropsychology,PHD,Australia,http://www.monash.edu.au
Aarhus University,Economics and Business Administration - Operations and Supply Chain Analytics,Masters,Denmark,http://international.au.dk/
Tecnológico de Monterrey,IQ Chemical Engineer,Bachelors,Mexico,https://tec.mx/en
Monash University,Research Master of Arts (Research Training),Masters,Australia,http://www.monash.edu.au
The University of Law ,LLB (Hons) Law with Criminology,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),BA LL.B. (Hons.) (Option to choose from 16 specializations),Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Computer Science (1.4 years),Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),M. Sc. (Microbiology) - Food and Environmental Microbiology,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
